ain,aout,online,offline,nstrong,nweak,ssb,emoticon,selfies,duration,label
16,14,20,12,22,20,4,22,4,10,1
12,14,20,14,2,40,28,8,12,20,2
10,10,22,14,2,20,28,2,10,30,3
18,14,22,18,24,22,2,20,2,8,1
12,16,24,12,2,20,26,2,12,22,2
8,8,20,12,2,22,28,4,12,32,3
11,14,27,14,2,40,35,8,12,30,2
12,14,28,14,2,40,38,8,12,35,2
11,14,25,14,2,40,38,8,12,26,2
10,12,18,18,22,20,4,22,4,10,3
12,16,20,14,2,30,26,4,12,20,2
12,16,22,14,2,20,28,2,10,30,2
23,20,34,30,23,23,12,3,3,5,1
26,15,24,15,21,20,4,22,4,10,1
36,16,25,17,22,20,4,21,4,11,1
26,17,26,18,24,20,4,19,4,1,1
14,14,26,14,2,29,28,12,14,30,3
10,10,23,14,2,32,28,23,10,30,3
15,15,24,14,2,35,28,11,15,30,3
31,24,31,25,32,20,4,20,4,10,1
11,14,33,14,2,40,28,8,12,21,2
12,14,29,14,2,40,36,8,12,40,2
12,14,23,14,2,40,32,8,12,22,2
11,14,43,14,2,40,33,8,12,23,2
10,10,24,14,2,25,28,12,10,30,3
10,10,25,14,2,27,28,12,10,30,3
10,10,25,14,2,34,28,12,10,30,3
11,11,26,14,2,30,28,5,11,30,3
13,14,24,14,2,40,34,8,12,24,2
14,14,26,14,2,40,28,8,12,28,2
11,14,30,14,2,40,39,8,12,41,2
10,10,23,14,2,23,28,5,11,30,3
11,11,24,14,2,24,28,7,10,30,3
10,10,25,14,2,25,28,8,10,30,3
16,18,27,19,25,20,4,22,4,5,1
18,19,28,20,26,20,4,18,4,6,1
19,20,29,21,27,20,4,22,4,7,1
26,21,30,22,28,20,4,17,4,8,1
30,22,31,23,29,20,4,22,4,9,1
10,10,26,14,2,27,28,10,10,30,3
12,12,23,14,2,22,28,11,12,30,3

